,full_date,day_of_week,day,month,year,hour,minute,product,machine,selling_price,cost_price,profit,inventory
73,2019-11-14 16:09:38+00:00,Thursday,14,11,2019,16,9,coffee,C,1.0,0.3,0.7,266
74,2019-11-14 16:11:19+00:00,Thursday,14,11,2019,16,11,coffee,C,1.0,0.3,0.7,265
79,2019-11-14 16:25:03+00:00,Thursday,14,11,2019,16,25,coffee,C,1.0,0.3,0.7,264
81,2019-11-14 16:39:35+00:00,Thursday,14,11,2019,16,39,soda,C,1.6,0.6,1.0,115
85,2019-11-14 16:57:09+00:00,Thursday,14,11,2019,16,57,soda,C,1.6,0.6,1.0,114
86,2019-11-14 17:01:56+00:00,Thursday,14,11,2019,17,1,soda,C,1.6,0.6,1.0,113
87,2019-11-14 17:02:35+00:00,Thursday,14,11,2019,17,2,nrj,C,1.8,0.8,1.0,58
89,2019-11-14 17:06:40+00:00,Thursday,14,11,2019,17,6,nrj,C,1.8,0.8,1.0,57
90,2019-11-14 17:12:08+00:00,Thursday,14,11,2019,17,12,soda,C,1.6,0.6,1.0,112
95,2019-11-14 17:22:09+00:00,Thursday,14,11,2019,17,22,coffee,C,1.0,0.3,0.7,263
97,2019-11-14 17:32:14+00:00,Thursday,14,11,2019,17,32,nrj,C,1.8,0.8,1.0,56
98,2019-11-14 17:34:16+00:00,Thursday,14,11,2019,17,34,soda,C,1.6,0.6,1.0,111
100,2019-11-14 17:40:37+00:00,Thursday,14,11,2019,17,40,soda,C,1.6,0.6,1.0,110
112,2019-11-14 18:16:43+00:00,Thursday,14,11,2019,18,16,nrj,C,1.8,0.8,1.0,55
116,2019-11-14 18:34:48+00:00,Thursday,14,11,2019,18,34,coffee,C,1.0,0.3,0.7,262
118,2019-11-14 18:41:23+00:00,Thursday,14,11,2019,18,41,coffee,C,1.0,0.3,0.7,261
121,2019-11-14 18:58:16+00:00,Thursday,14,11,2019,18,58,soda,C,1.6,0.6,1.0,109
122,2019-11-14 18:59:30+00:00,Thursday,14,11,2019,18,59,nrj,C,1.8,0.8,1.0,54
131,2019-11-14 20:00:08+00:00,Thursday,14,11,2019,20,0,soda,C,1.6,0.6,1.0,108
132,2019-11-14 20:06:26+00:00,Thursday,14,11,2019,20,6,nrj,C,1.8,0.8,1.0,53
137,2019-11-14 20:31:25+00:00,Thursday,14,11,2019,20,31,soda,C,1.6,0.6,1.0,107
138,2019-11-14 20:37:43+00:00,Thursday,14,11,2019,20,37,soda,C,1.6,0.6,1.0,106
139,2019-11-14 20:46:18+00:00,Thursday,14,11,2019,20,46,nrj,C,1.8,0.8,1.0,52
140,2019-11-14 21:04:28+00:00,Thursday,14,11,2019,21,4,soda,C,1.6,0.6,1.0,105
147,2019-11-14 21:30:08+00:00,Thursday,14,11,2019,21,30,coffee,C,1.0,0.3,0.7,260
152,2019-11-14 22:17:39+00:00,Thursday,14,11,2019,22,17,soda,C,1.6,0.6,1.0,104
153,2019-11-14 22:26:40+00:00,Thursday,14,11,2019,22,26,soda,C,1.6,0.6,1.0,103
154,2019-11-14 22:36:07+00:00,Thursday,14,11,2019,22,36,soda,C,1.6,0.6,1.0,102
162,2019-11-15 00:11:51+00:00,Friday,15,11,2019,0,11,soda,C,1.6,0.6,1.0,101
165,2019-11-15 00:31:03+00:00,Friday,15,11,2019,0,31,nrj,C,1.8,0.8,1.0,51
166,2019-11-15 00:32:34+00:00,Friday,15,11,2019,0,32,soda,C,1.6,0.6,1.0,100
167,2019-11-15 00:35:55+00:00,Friday,15,11,2019,0,35,coffee,C,1.0,0.3,0.7,259
172,2019-11-15 01:05:36+00:00,Friday,15,11,2019,1,5,coffee,C,1.0,0.3,0.7,258
175,2019-11-15 01:22:50+00:00,Friday,15,11,2019,1,22,soda,C,1.6,0.6,1.0,99
177,2019-11-15 01:35:34+00:00,Friday,15,11,2019,1,35,coffee,C,1.0,0.3,0.7,257
179,2019-11-15 01:56:07+00:00,Friday,15,11,2019,1,56,soda,C,1.6,0.6,1.0,98
183,2019-11-15 05:12:50+00:00,Friday,15,11,2019,5,12,soda,C,1.6,0.6,1.0,97
185,2019-11-15 05:17:20+00:00,Friday,15,11,2019,5,17,coffee,C,1.0,0.3,0.7,256
191,2019-11-15 05:23:30+00:00,Friday,15,11,2019,5,23,soda,C,1.6,0.6,1.0,96
192,2019-11-15 05:26:51+00:00,Friday,15,11,2019,5,26,soda,C,1.6,0.6,1.0,95
193,2019-11-15 05:27:20+00:00,Friday,15,11,2019,5,27,coffee,C,1.0,0.3,0.7,255
195,2019-11-15 05:30:02+00:00,Friday,15,11,2019,5,30,coffee,C,1.0,0.3,0.7,254
207,2019-11-15 06:09:56+00:00,Friday,15,11,2019,6,9,coffee,C,1.0,0.3,0.7,253
211,2019-11-15 06:15:53+00:00,Friday,15,11,2019,6,15,coffee,C,1.0,0.3,0.7,252
212,2019-11-15 06:23:01+00:00,Friday,15,11,2019,6,23,soda,C,1.6,0.6,1.0,94
213,2019-11-15 06:23:11+00:00,Friday,15,11,2019,6,23,coffee,C,1.0,0.3,0.7,251
222,2019-11-15 06:43:06+00:00,Friday,15,11,2019,6,43,coffee,C,1.0,0.3,0.7,250
224,2019-11-15 06:45:12+00:00,Friday,15,11,2019,6,45,coffee,C,1.0,0.3,0.7,249
228,2019-11-15 06:49:51+00:00,Friday,15,11,2019,6,49,coffee,C,1.0,0.3,0.7,248
232,2019-11-15 06:58:05+00:00,Friday,15,11,2019,6,58,soda,C,1.6,0.6,1.0,93
235,2019-11-15 07:04:54+00:00,Friday,15,11,2019,7,4,coffee,C,1.0,0.3,0.7,247
238,2019-11-15 07:10:33+00:00,Friday,15,11,2019,7,10,soda,C,1.6,0.6,1.0,92
247,2019-11-15 07:20:05+00:00,Friday,15,11,2019,7,20,soda,C,1.6,0.6,1.0,91
253,2019-11-15 07:29:58+00:00,Friday,15,11,2019,7,29,coffee,C,1.0,0.3,0.7,246
254,2019-11-15 07:30:40+00:00,Friday,15,11,2019,7,30,coffee,C,1.0,0.3,0.7,245
257,2019-11-15 07:33:27+00:00,Friday,15,11,2019,7,33,coffee,C,1.0,0.3,0.7,244
258,2019-11-15 07:42:03+00:00,Friday,15,11,2019,7,42,soda,C,1.6,0.6,1.0,90
259,2019-11-15 07:44:21+00:00,Friday,15,11,2019,7,44,coffee,C,1.0,0.3,0.7,243
260,2019-11-15 07:44:37+00:00,Friday,15,11,2019,7,44,coffee,C,1.0,0.3,0.7,242
261,2019-11-15 07:46:58+00:00,Friday,15,11,2019,7,46,coffee,C,1.0,0.3,0.7,241
263,2019-11-15 07:47:41+00:00,Friday,15,11,2019,7,47,coffee,C,1.0,0.3,0.7,240
266,2019-11-15 08:00:19+00:00,Friday,15,11,2019,8,0,coffee,C,1.0,0.3,0.7,239
279,2019-11-15 08:18:15+00:00,Friday,15,11,2019,8,18,coffee,C,1.0,0.3,0.7,238
283,2019-11-15 08:22:32+00:00,Friday,15,11,2019,8,22,coffee,C,1.0,0.3,0.7,237
285,2019-11-15 08:27:29+00:00,Friday,15,11,2019,8,27,coffee,C,1.0,0.3,0.7,236
287,2019-11-15 08:29:37+00:00,Friday,15,11,2019,8,29,coffee,C,1.0,0.3,0.7,235
289,2019-11-15 08:33:45+00:00,Friday,15,11,2019,8,33,coffee,C,1.0,0.3,0.7,234
290,2019-11-15 08:34:07+00:00,Friday,15,11,2019,8,34,coffee,C,1.0,0.3,0.7,233
293,2019-11-15 08:37:03+00:00,Friday,15,11,2019,8,37,coffee,C,1.0,0.3,0.7,232
298,2019-11-15 08:42:47+00:00,Friday,15,11,2019,8,42,coffee,C,1.0,0.3,0.7,231
301,2019-11-15 08:47:18+00:00,Friday,15,11,2019,8,47,coffee,C,1.0,0.3,0.7,230
311,2019-11-15 09:02:25+00:00,Friday,15,11,2019,9,2,coffee,C,1.0,0.3,0.7,229
316,2019-11-15 09:11:03+00:00,Friday,15,11,2019,9,11,coffee,C,1.0,0.3,0.7,228
322,2019-11-15 09:14:57+00:00,Friday,15,11,2019,9,14,coffee,C,1.0,0.3,0.7,227
325,2019-11-15 09:17:16+00:00,Friday,15,11,2019,9,17,soda,C,1.6,0.6,1.0,89
331,2019-11-15 09:23:22+00:00,Friday,15,11,2019,9,23,coffee,C,1.0,0.3,0.7,226
333,2019-11-15 09:24:11+00:00,Friday,15,11,2019,9,24,soda,C,1.6,0.6,1.0,88
336,2019-11-15 09:28:01+00:00,Friday,15,11,2019,9,28,coffee,C,1.0,0.3,0.7,225
337,2019-11-15 09:29:57+00:00,Friday,15,11,2019,9,29,soda,C,1.6,0.6,1.0,87
339,2019-11-15 09:33:03+00:00,Friday,15,11,2019,9,33,coffee,C,1.0,0.3,0.7,224
341,2019-11-15 09:38:46+00:00,Friday,15,11,2019,9,38,coffee,C,1.0,0.3,0.7,223
342,2019-11-15 09:39:52+00:00,Friday,15,11,2019,9,39,soda,C,1.6,0.6,1.0,86
344,2019-11-15 09:40:36+00:00,Friday,15,11,2019,9,40,coffee,C,1.0,0.3,0.7,222
349,2019-11-15 09:48:35+00:00,Friday,15,11,2019,9,48,coffee,C,1.0,0.3,0.7,221
352,2019-11-15 09:49:47+00:00,Friday,15,11,2019,9,49,coffee,C,1.0,0.3,0.7,220
353,2019-11-15 09:49:51+00:00,Friday,15,11,2019,9,49,coffee,C,1.0,0.3,0.7,219
357,2019-11-15 09:55:06+00:00,Friday,15,11,2019,9,55,coffee,C,1.0,0.3,0.7,218
359,2019-11-15 09:56:57+00:00,Friday,15,11,2019,9,56,coffee,C,1.0,0.3,0.7,217
361,2019-11-15 09:57:53+00:00,Friday,15,11,2019,9,57,coffee,C,1.0,0.3,0.7,216
363,2019-11-15 10:01:16+00:00,Friday,15,11,2019,10,1,soda,C,1.6,0.6,1.0,85
368,2019-11-15 10:04:36+00:00,Friday,15,11,2019,10,4,coffee,C,1.0,0.3,0.7,215
371,2019-11-15 10:12:42+00:00,Friday,15,11,2019,10,12,coffee,C,1.0,0.3,0.7,214
379,2019-11-15 10:33:10+00:00,Friday,15,11,2019,10,33,coffee,C,1.0,0.3,0.7,213
390,2019-11-15 10:40:40+00:00,Friday,15,11,2019,10,40,soda,C,1.6,0.6,1.0,84
395,2019-11-15 10:45:43+00:00,Friday,15,11,2019,10,45,coffee,C,1.0,0.3,0.7,212
400,2019-11-15 11:01:08+00:00,Friday,15,11,2019,11,1,coffee,C,1.0,0.3,0.7,211
401,2019-11-15 11:02:16+00:00,Friday,15,11,2019,11,2,coffee,C,1.0,0.3,0.7,210
402,2019-11-15 11:02:17+00:00,Friday,15,11,2019,11,2,coffee,C,1.0,0.3,0.7,209
404,2019-11-15 11:05:51+00:00,Friday,15,11,2019,11,5,coffee,C,1.0,0.3,0.7,208
410,2019-11-15 11:11:15+00:00,Friday,15,11,2019,11,11,coffee,C,1.0,0.3,0.7,207
416,2019-11-15 11:20:10+00:00,Friday,15,11,2019,11,20,coffee,C,1.0,0.3,0.7,206
418,2019-11-15 11:23:01+00:00,Friday,15,11,2019,11,23,soda,C,1.6,0.6,1.0,83
419,2019-11-15 11:24:00+00:00,Friday,15,11,2019,11,24,coffee,C,1.0,0.3,0.7,205
423,2019-11-15 11:26:38+00:00,Friday,15,11,2019,11,26,coffee,C,1.0,0.3,0.7,204
425,2019-11-15 11:30:03+00:00,Friday,15,11,2019,11,30,coffee,C,1.0,0.3,0.7,203
429,2019-11-15 11:39:02+00:00,Friday,15,11,2019,11,39,coffee,C,1.0,0.3,0.7,202
430,2019-11-15 11:40:42+00:00,Friday,15,11,2019,11,40,soda,C,1.6,0.6,1.0,82
434,2019-11-15 11:47:09+00:00,Friday,15,11,2019,11,47,coffee,C,1.0,0.3,0.7,201
435,2019-11-15 11:47:11+00:00,Friday,15,11,2019,11,47,coffee,C,1.0,0.3,0.7,200
438,2019-11-15 11:48:57+00:00,Friday,15,11,2019,11,48,coffee,C,1.0,0.3,0.7,199
444,2019-11-15 11:52:14+00:00,Friday,15,11,2019,11,52,coffee,C,1.0,0.3,0.7,198
447,2019-11-15 11:55:25+00:00,Friday,15,11,2019,11,55,coffee,C,1.0,0.3,0.7,197
450,2019-11-15 11:59:26+00:00,Friday,15,11,2019,11,59,soda,C,1.6,0.6,1.0,81
454,2019-11-15 12:02:41+00:00,Friday,15,11,2019,12,2,coffee,C,1.0,0.3,0.7,196
464,2019-11-15 12:21:02+00:00,Friday,15,11,2019,12,21,soda,C,1.6,0.6,1.0,80
465,2019-11-15 12:21:12+00:00,Friday,15,11,2019,12,21,coffee,C,1.0,0.3,0.7,195
469,2019-11-15 12:26:22+00:00,Friday,15,11,2019,12,26,soda,C,1.6,0.6,1.0,79
472,2019-11-15 12:29:58+00:00,Friday,15,11,2019,12,29,coffee,C,1.0,0.3,0.7,194
474,2019-11-15 12:31:41+00:00,Friday,15,11,2019,12,31,soda,C,1.6,0.6,1.0,78
475,2019-11-15 12:34:10+00:00,Friday,15,11,2019,12,34,coffee,C,1.0,0.3,0.7,193
482,2019-11-15 12:43:03+00:00,Friday,15,11,2019,12,43,coffee,C,1.0,0.3,0.7,192
486,2019-11-15 12:46:03+00:00,Friday,15,11,2019,12,46,coffee,C,1.0,0.3,0.7,191
491,2019-11-15 12:54:59+00:00,Friday,15,11,2019,12,54,coffee,C,1.0,0.3,0.7,190
494,2019-11-15 13:04:23+00:00,Friday,15,11,2019,13,4,coffee,C,1.0,0.3,0.7,189
498,2019-11-15 13:08:09+00:00,Friday,15,11,2019,13,8,coffee,C,1.0,0.3,0.7,188
500,2019-11-15 13:10:12+00:00,Friday,15,11,2019,13,10,coffee,C,1.0,0.3,0.7,187
502,2019-11-15 13:12:17+00:00,Friday,15,11,2019,13,12,coffee,C,1.0,0.3,0.7,186
503,2019-11-15 13:12:23+00:00,Friday,15,11,2019,13,12,coffee,C,1.0,0.3,0.7,185
505,2019-11-15 13:19:27+00:00,Friday,15,11,2019,13,19,coffee,C,1.0,0.3,0.7,184
511,2019-11-15 13:29:52+00:00,Friday,15,11,2019,13,29,coffee,C,1.0,0.3,0.7,183
515,2019-11-15 13:36:40+00:00,Friday,15,11,2019,13,36,coffee,C,1.0,0.3,0.7,182
526,2019-11-15 14:03:19+00:00,Friday,15,11,2019,14,3,coffee,C,1.0,0.3,0.7,181
531,2019-11-15 14:11:57+00:00,Friday,15,11,2019,14,11,coffee,C,1.0,0.3,0.7,180
533,2019-11-15 14:13:04+00:00,Friday,15,11,2019,14,13,soda,C,1.6,0.6,1.0,77
534,2019-11-15 14:21:14+00:00,Friday,15,11,2019,14,21,coffee,C,1.0,0.3,0.7,179
535,2019-11-15 14:22:44+00:00,Friday,15,11,2019,14,22,coffee,C,1.0,0.3,0.7,178
536,2019-11-15 14:24:11+00:00,Friday,15,11,2019,14,24,coffee,C,1.0,0.3,0.7,177
537,2019-11-15 14:27:52+00:00,Friday,15,11,2019,14,27,coffee,C,1.0,0.3,0.7,176
542,2019-11-15 14:34:29+00:00,Friday,15,11,2019,14,34,coffee,C,1.0,0.3,0.7,175
545,2019-11-15 14:44:33+00:00,Friday,15,11,2019,14,44,coffee,C,1.0,0.3,0.7,174
547,2019-11-15 14:49:01+00:00,Friday,15,11,2019,14,49,nrj,C,1.8,0.8,1.0,50
553,2019-11-15 14:59:51+00:00,Friday,15,11,2019,14,59,coffee,C,1.0,0.3,0.7,173
555,2019-11-15 15:02:34+00:00,Friday,15,11,2019,15,2,coffee,C,1.0,0.3,0.7,172
559,2019-11-15 15:11:57+00:00,Friday,15,11,2019,15,11,coffee,C,1.0,0.3,0.7,171
560,2019-11-15 15:14:42+00:00,Friday,15,11,2019,15,14,coffee,C,1.0,0.3,0.7,170
568,2019-11-15 15:27:15+00:00,Friday,15,11,2019,15,27,coffee,C,1.0,0.3,0.7,169
572,2019-11-15 15:31:40+00:00,Friday,15,11,2019,15,31,coffee,C,1.0,0.3,0.7,168
575,2019-11-15 15:41:40+00:00,Friday,15,11,2019,15,41,soda,C,1.6,0.6,1.0,76
577,2019-11-15 15:46:49+00:00,Friday,15,11,2019,15,46,coffee,C,1.0,0.3,0.7,167
579,2019-11-15 15:52:37+00:00,Friday,15,11,2019,15,52,soda,C,1.6,0.6,1.0,75
581,2019-11-15 15:58:57+00:00,Friday,15,11,2019,15,58,coffee,C,1.0,0.3,0.7,166
582,2019-11-15 16:03:16+00:00,Friday,15,11,2019,16,3,coffee,C,1.0,0.3,0.7,165
585,2019-11-15 16:07:52+00:00,Friday,15,11,2019,16,7,coffee,C,1.0,0.3,0.7,164
593,2019-11-15 16:15:03+00:00,Friday,15,11,2019,16,15,nrj,C,1.8,0.8,1.0,49
595,2019-11-15 16:21:03+00:00,Friday,15,11,2019,16,21,soda,C,1.6,0.6,1.0,74
599,2019-11-15 16:26:08+00:00,Friday,15,11,2019,16,26,nrj,C,1.8,0.8,1.0,48
602,2019-11-15 16:29:44+00:00,Friday,15,11,2019,16,29,coffee,C,1.0,0.3,0.7,163
603,2019-11-15 16:30:10+00:00,Friday,15,11,2019,16,30,coffee,C,1.0,0.3,0.7,162
604,2019-11-15 16:30:22+00:00,Friday,15,11,2019,16,30,nrj,C,1.8,0.8,1.0,47
611,2019-11-15 16:38:12+00:00,Friday,15,11,2019,16,38,soda,C,1.6,0.6,1.0,73
620,2019-11-15 17:15:50+00:00,Friday,15,11,2019,17,15,coffee,C,1.0,0.3,0.7,161
621,2019-11-15 17:18:19+00:00,Friday,15,11,2019,17,18,soda,C,1.6,0.6,1.0,72
629,2019-11-15 17:40:29+00:00,Friday,15,11,2019,17,40,soda,C,1.6,0.6,1.0,71
631,2019-11-15 17:42:47+00:00,Friday,15,11,2019,17,42,soda,C,1.6,0.6,1.0,70
632,2019-11-15 17:46:54+00:00,Friday,15,11,2019,17,46,nrj,C,1.8,0.8,1.0,46
635,2019-11-15 17:55:41+00:00,Friday,15,11,2019,17,55,coffee,C,1.0,0.3,0.7,160
639,2019-11-15 18:08:04+00:00,Friday,15,11,2019,18,8,nrj,C,1.8,0.8,1.0,45
642,2019-11-15 18:10:27+00:00,Friday,15,11,2019,18,10,nrj,C,1.8,0.8,1.0,44
643,2019-11-15 18:12:01+00:00,Friday,15,11,2019,18,12,nrj,C,1.8,0.8,1.0,43
645,2019-11-15 18:30:00+00:00,Friday,15,11,2019,18,30,nrj,C,1.8,0.8,1.0,42
647,2019-11-15 18:41:38+00:00,Friday,15,11,2019,18,41,soda,C,1.6,0.6,1.0,69
650,2019-11-15 18:43:39+00:00,Friday,15,11,2019,18,43,nrj,C,1.8,0.8,1.0,41
651,2019-11-15 18:44:32+00:00,Friday,15,11,2019,18,44,nrj,C,1.8,0.8,1.0,40
655,2019-11-15 18:56:15+00:00,Friday,15,11,2019,18,56,nrj,C,1.8,0.8,1.0,39
656,2019-11-15 18:56:21+00:00,Friday,15,11,2019,18,56,nrj,C,1.8,0.8,1.0,38
659,2019-11-15 19:00:49+00:00,Friday,15,11,2019,19,0,coffee,C,1.0,0.3,0.7,159
660,2019-11-15 19:01:59+00:00,Friday,15,11,2019,19,1,nrj,C,1.8,0.8,1.0,37
663,2019-11-15 19:13:34+00:00,Friday,15,11,2019,19,13,nrj,C,1.8,0.8,1.0,36
664,2019-11-15 19:22:23+00:00,Friday,15,11,2019,19,22,nrj,C,1.8,0.8,1.0,35
665,2019-11-15 19:24:05+00:00,Friday,15,11,2019,19,24,soda,C,1.6,0.6,1.0,68
670,2019-11-15 19:30:18+00:00,Friday,15,11,2019,19,30,soda,C,1.6,0.6,1.0,67
671,2019-11-15 19:30:45+00:00,Friday,15,11,2019,19,30,nrj,C,1.8,0.8,1.0,34
674,2019-11-15 19:31:11+00:00,Friday,15,11,2019,19,31,nrj,C,1.8,0.8,1.0,33
677,2019-11-15 19:37:37+00:00,Friday,15,11,2019,19,37,nrj,C,1.8,0.8,1.0,32
682,2019-11-15 20:14:14+00:00,Friday,15,11,2019,20,14,nrj,C,1.8,0.8,1.0,31
683,2019-11-15 20:20:17+00:00,Friday,15,11,2019,20,20,nrj,C,1.8,0.8,1.0,30
684,2019-11-15 20:24:49+00:00,Friday,15,11,2019,20,24,soda,C,1.6,0.6,1.0,66
685,2019-11-15 20:24:59+00:00,Friday,15,11,2019,20,24,nrj,C,1.8,0.8,1.0,29
694,2019-11-15 21:03:03+00:00,Friday,15,11,2019,21,3,soda,C,1.6,0.6,1.0,65
695,2019-11-15 21:03:16+00:00,Friday,15,11,2019,21,3,nrj,C,1.8,0.8,1.0,28
696,2019-11-15 21:12:36+00:00,Friday,15,11,2019,21,12,nrj,C,1.8,0.8,1.0,27
697,2019-11-15 21:14:36+00:00,Friday,15,11,2019,21,14,coffee,C,1.0,0.3,0.7,158
699,2019-11-15 21:20:39+00:00,Friday,15,11,2019,21,20,nrj,C,1.8,0.8,1.0,26
701,2019-11-15 21:23:24+00:00,Friday,15,11,2019,21,23,soda,C,1.6,0.6,1.0,64
702,2019-11-15 21:27:21+00:00,Friday,15,11,2019,21,27,nrj,C,1.8,0.8,1.0,25
704,2019-11-15 21:38:15+00:00,Friday,15,11,2019,21,38,nrj,C,1.8,0.8,1.0,24
705,2019-11-15 21:41:21+00:00,Friday,15,11,2019,21,41,soda,C,1.6,0.6,1.0,63
708,2019-11-15 21:48:28+00:00,Friday,15,11,2019,21,48,nrj,C,1.8,0.8,1.0,23
709,2019-11-15 21:48:37+00:00,Friday,15,11,2019,21,48,nrj,C,1.8,0.8,1.0,22
710,2019-11-15 22:03:51+00:00,Friday,15,11,2019,22,3,soda,C,1.6,0.6,1.0,62
712,2019-11-15 22:16:04+00:00,Friday,15,11,2019,22,16,soda,C,1.6,0.6,1.0,61
716,2019-11-15 22:41:09+00:00,Friday,15,11,2019,22,41,coffee,C,1.0,0.3,0.7,157
717,2019-11-15 22:41:55+00:00,Friday,15,11,2019,22,41,nrj,C,1.8,0.8,1.0,21
721,2019-11-15 22:52:40+00:00,Friday,15,11,2019,22,52,soda,C,1.6,0.6,1.0,60
725,2019-11-15 23:05:48+00:00,Friday,15,11,2019,23,5,soda,C,1.6,0.6,1.0,59
731,2019-11-15 23:25:21+00:00,Friday,15,11,2019,23,25,coffee,C,1.0,0.3,0.7,156
739,2019-11-16 00:16:45+00:00,Saturday,16,11,2019,0,16,nrj,C,1.8,0.8,1.0,20
740,2019-11-16 00:18:10+00:00,Saturday,16,11,2019,0,18,soda,C,1.6,0.6,1.0,58
744,2019-11-16 00:56:10+00:00,Saturday,16,11,2019,0,56,soda,C,1.6,0.6,1.0,57
753,2019-11-16 05:11:55+00:00,Saturday,16,11,2019,5,11,coffee,C,1.0,0.3,0.7,155
756,2019-11-16 05:27:13+00:00,Saturday,16,11,2019,5,27,soda,C,1.6,0.6,1.0,56
761,2019-11-16 06:02:47+00:00,Saturday,16,11,2019,6,2,coffee,C,1.0,0.3,0.7,154
766,2019-11-16 06:17:25+00:00,Saturday,16,11,2019,6,17,coffee,C,1.0,0.3,0.7,153
772,2019-11-16 06:45:54+00:00,Saturday,16,11,2019,6,45,coffee,C,1.0,0.3,0.7,152
778,2019-11-16 07:29:11+00:00,Saturday,16,11,2019,7,29,coffee,C,1.0,0.3,0.7,151
780,2019-11-16 07:40:47+00:00,Saturday,16,11,2019,7,40,coffee,C,1.0,0.3,0.7,150
784,2019-11-16 07:59:20+00:00,Saturday,16,11,2019,7,59,coffee,C,1.0,0.3,0.7,149
791,2019-11-16 08:23:21+00:00,Saturday,16,11,2019,8,23,coffee,C,1.0,0.3,0.7,148
792,2019-11-16 08:25:42+00:00,Saturday,16,11,2019,8,25,soda,C,1.6,0.6,1.0,55
793,2019-11-16 08:28:55+00:00,Saturday,16,11,2019,8,28,coffee,C,1.0,0.3,0.7,147
794,2019-11-16 08:39:17+00:00,Saturday,16,11,2019,8,39,coffee,C,1.0,0.3,0.7,146
803,2019-11-16 08:52:52+00:00,Saturday,16,11,2019,8,52,coffee,C,1.0,0.3,0.7,145
805,2019-11-16 08:58:06+00:00,Saturday,16,11,2019,8,58,coffee,C,1.0,0.3,0.7,144
810,2019-11-16 09:17:46+00:00,Saturday,16,11,2019,9,17,coffee,C,1.0,0.3,0.7,143
815,2019-11-16 09:41:53+00:00,Saturday,16,11,2019,9,41,coffee,C,1.0,0.3,0.7,142
817,2019-11-16 10:01:07+00:00,Saturday,16,11,2019,10,1,soda,C,1.6,0.6,1.0,54
820,2019-11-16 10:04:20+00:00,Saturday,16,11,2019,10,4,coffee,C,1.0,0.3,0.7,141
822,2019-11-16 10:09:31+00:00,Saturday,16,11,2019,10,9,coffee,C,1.0,0.3,0.7,140
824,2019-11-16 10:13:51+00:00,Saturday,16,11,2019,10,13,coffee,C,1.0,0.3,0.7,139
826,2019-11-16 10:16:54+00:00,Saturday,16,11,2019,10,16,soda,C,1.6,0.6,1.0,53
831,2019-11-16 10:30:57+00:00,Saturday,16,11,2019,10,30,soda,C,1.6,0.6,1.0,52
836,2019-11-16 10:54:26+00:00,Saturday,16,11,2019,10,54,coffee,C,1.0,0.3,0.7,138
838,2019-11-16 11:02:36+00:00,Saturday,16,11,2019,11,2,soda,C,1.6,0.6,1.0,51
846,2019-11-16 11:17:19+00:00,Saturday,16,11,2019,11,17,coffee,C,1.0,0.3,0.7,137
847,2019-11-16 11:30:20+00:00,Saturday,16,11,2019,11,30,coffee,C,1.0,0.3,0.7,136
848,2019-11-16 11:31:10+00:00,Saturday,16,11,2019,11,31,coffee,C,1.0,0.3,0.7,135
851,2019-11-16 11:38:04+00:00,Saturday,16,11,2019,11,38,coffee,C,1.0,0.3,0.7,134
